Id;Stanice;TUDU;Km;GPS
166;St.JesenËany;161122;86.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7570736111535,50.0001866666642,'null'),'null','null')
167;Chrudim;1611J1;80.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7870352776845,49.9479736116197,'null'),'null','null')
168;Medleöice;1611K1;83.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7667833333297,49.9762033335368,'null'),'null','null')
169;Chrudim zast.;161136;81.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7809372223748,49.9593861113654,'null'),'null','null')
170;SlatiÚany;1611I1;76.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8249702776803,49.9189750001166,'null'),'null','null')
171;Chrast u Chrudimi;1611H1;68.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9125872219933,49.9009255555603,'null'),'null','null')
172;ZajeËice;161116;71.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.879588889016,49.9005394444532,'null'),'null','null')
173;Horka u Chrudimi;161132;66;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9116780556573,49.8821552774641,'null'),'null','null')
174;éÔ·rec u SkutËe;1611G1;55.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9787802780999,49.8254149998559,'null'),'null','null')
175;Vrbat˘v Kostelec;161132;60.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9371630554729,49.8550275002586,'null'),'null','null')
176;ProsetÌn;161114;56.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9618933338589,49.8325497224596,'null'),'null','null')
177;Pok¯ikov;161110;48;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9813752778371,49.7935380554199,'null'),'null','null')
178;Hlinsko v ».;1611E3;39.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9007066666418,49.7662691667345,'null'),'null','null')
179;VojtÏchov;161110;47;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9719802776972,49.7920344442791,'null'),'null','null')
180;HoletÌn;161110;42.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9272969447242,49.7881280554665,'null'),'null','null')
183;Borov· u Pol.zast.;201108;26.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1745458332698,49.7318308332231,'null'),'null','null')
184;SkuteË;2011I1;49.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9941125000848,49.837443611092,'null'),'null','null')
185;P¯edhradÌ;201112;46.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.018521111144,49.8242616664039,'null'),'null','null')
186;»achnov;2011F1;36.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0582522222731,49.7531325001187,'null'),'null','null')
187;Krouna;201112;40.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.036846666601,49.7784483337402,'null'),'null','null')
188;Pust· Kamenice;201110;35.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0816875002119,49.7545530557632,'null'),'null','null')
189;PoliËka;2011D1;19.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2622130552928,49.7190627778901,'null'),'null','null')
190;Borov· u PoliËky;2011E1;28.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1615311113993,49.7431400002374,'null'),'null','null')
191;Old¯iö;201108;25.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1941727775998,49.728427500195,'null'),'null','null')
192;S·dek u PoliËky;201108;23.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2149274995592,49.7177947221862,'null'),'null','null')
193;PomezÌ zast.;201106;17.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2910366667642,49.7212272220188,'null'),'null','null')
194;PomezÌ;201106;14.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.325455833541,49.7207416666879,'null'),'null','null')
195;KvÏtn·;2011C1;11.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3684966666169,49.729594722324,'null'),'null','null')
196;VendolÌ zast.;201104;8.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3954108333588,49.7366702776485,'null'),'null','null')
197;VendolÌ;201104;6.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.4124705558353,49.7455130555895,'null'),'null','null')
198;Pus.Kamenice zast.;201110;34;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0928499995338,49.7524844445123,'null'),'null','null')
199;KvÏtn· zast.;201106;12.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3545094442368,49.7268658330706,'null'),'null','null')
200;Krouna zast.;201112;41.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0350308333503,49.7862608332104,'null'),'null','null')
201;Litomyöl zast.;158106;22.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2927747217814,49.8813172223833,'null'),'null','null')
202;Litomyöl;1581D1;23.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.3048119444317,49.8744794442919,'null'),'null','null')
203;Litomyöl-NedoöÌn;158106;21.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.279796110789,49.885842777888,'null'),'null','null')
204;Trûek;158106;19.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2595905558268,49.890036110878,'null'),'null','null')
205;ÿÌdk˝;158106;18.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2468591668871,49.8917525000042,'null'),'null','null')
206;Cerekvice n.LouË.;1581C1;15.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.2077963887321,49.9053230555852,'null'),'null','null')
207;Cerekv.n.LouË.zast;158106;16.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.218727777799,49.9009813888868,'null'),'null','null')
208;Hruöov·;158104;14.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1965925004747,49.9111705557505,'null'),'null','null')
209;Vys.M˝to;1581B1;7.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1471105554369,49.9555094443427,'null'),'null','null')
210;Dûb·nov;158104;12;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1740388891432,49.9253236113654,'null'),'null','null')
211;Vys.M˝to m.;158104;8.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1556891669167,49.9506583333016,'null'),'null','null')
212;Slatina u Vys.M˝ta;158110;4.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.1633149994744,49.974985833168,'null'),'null','null')
213;Lanökroun;1921B1;4.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.6036233332422,49.909349167082,'null'),'null','null')
221;JiËÌn;1061C3;17.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3616147221459,50.4278586112128,'null'),'null','null')
223;JiËÌn zast.;106302;2.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3809016662174,50.4505261111259,'null'),'null','null')
227;Butoves;1061B1;9.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.425421388944,50.3881786113315,'null'),'null','null')
228;Holice;1551B1;38.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9927533329858,50.0697330554326,'null'),'null','null')
229;VitinÏves;106104;13.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3807288890415,50.3993594445123,'null'),'null','null')
230;Holice zast.;155104;42.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0344091666407,50.0818766668108,'null'),'null','null')
231;KovaË;106102;6.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4692836109797,50.392342499627,'null'),'null','null')
232;RoveÚ;155102;33.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9696630554729,50.0289794445038,'null'),'null','null')
233;OstromÏ¯;1401E1;49.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5456841670142,50.3691605554687,'null'),'null','null')
234;PlatÏnice;155102;31.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.961494167116,50.0090477773878,'null'),'null','null')
235;Vojice;106102;4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4980230553945,50.3844233333402,'null'),'null','null')
236;Chrudim m.;1531B1;13.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7904783333672,49.9575622224808,'null'),'null','null')
237;SobËice;106102;2.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5185474999746,50.3754024998347,'null'),'null','null')
238;Vejvanovice;153106;20.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8733047220442,49.9730336109797,'null'),'null','null')
239;⁄h¯etice;1531C1;19.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8625291665395,49.9773316669464,'null'),'null','null')
240;Ho¯ice v Podkrk.;1631E1;26.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6333519444449,50.3559827778074,'null'),'null','null')
241;TunÏchody;153104;18.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8497611109416,49.9744536113739,'null'),'null','null')
242;Dobr· Voda u Ho¯.;1631F1;28.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6097444449531,50.345911110772,'null'),'null','null')
243;Topol;153104;16.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8321688885159,49.9675855555799,'null'),'null','null')
245;Bylany;153102;8.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7328941663106,49.9559988890754,'null'),'null','null')
247;Hroch˘v T˝nec;1531D1;23.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9078174999025,49.9662994448344,'null'),'null','null')
248;Cerekvice n.Byst¯.;163108;18.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7168297222257,50.3255152776506,'null'),'null','null')
249;Bo¯ice;153108;26;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9222466664844,49.9804816669888,'null'),'null','null')
250;Sadov·;1631C1;14.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6943516667684,50.2957694445716,'null'),'null','null')
251;HnÏvËeves;1631D1;17.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7209244444635,50.3109580559201,'null'),'null','null')
252;Dohalice;163104;12.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6958069441054,50.2829747221205,'null'),'null','null')
253;Vöestary;1631B1;5.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7647375000848,50.2524825000763,'null'),'null','null')
254;DlouhÈ Dvory;163104;8.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7259605556064,50.2616858334012,'null'),'null','null')
255;PlotiötÏ n.L.;163102;2.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7926252778371,50.2349055555132,'null'),'null','null')
256;Lib·Ú;111102;4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.2154813893636,50.3563925001356,'null'),'null','null')
257;Ledkov;111102;1.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.2358330554432,50.3446202776167,'null'),'null','null')
258;JenÌkovice;154104;9.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6560836108526,49.9810388893551,'null'),'null','null')
259;DÏtenice;1111C1;7.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.1760547224681,50.3731877777312,'null'),'null','null')
260;He¯man˘v MÏstec;1541C1;13.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6583933332231,49.9516583332751,'null'),'null','null')
261;Osenice;111106;9.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.1631897226969,50.3696686111556,'null'),'null','null')
262;Valy u P¯el.zast.;154102;3.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6139327780406,50.0308680555556,'null'),'null','null')
263;RokytÚany;111106;11.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.1339233333535,50.3680130555895,'null'),'null','null')
264;VeselÌ u P¯el.;154102;5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6233230553733,50.0171450000008,'null'),'null','null')
265;Choltice;1541B1;8.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6455433336894,49.9882230557336,'null'),'null','null')
266;Rozhovice;153102;5.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7100658331977,49.9698325000869,'null'),'null','null')
267;Kleöice;153102;3.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6843744444185,49.9654194439782,'null'),'null','null')
268;Prachovice;1541E3;21.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6331480556064,49.8929763889313,'null'),'null','null')
269;Kostelec u He¯.M.;1541D1;17.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6505680555767,49.9213072220484,'null'),'null','null')
271;Kostelec u H.M-P.;154106;16.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6492666668362,49.9286463885837,'null'),'null','null')
280;Ml˝nec;142108;21.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.2210808332761,50.3177799999714,'null'),'null','null')
281;Kopidlno;1421E1;25.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.2579305553436,50.3332425000932,'null'),'null','null')
282;Pöeves;142110;28.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.2957722218831,50.3453022225698,'null'),'null','null')
284;JiËÌnÏves;142112;33.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3372016665671,50.3743463887109,'null'),'null','null')
285;NemyËeves;142112;36.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3605211109585,50.3873486110899,'null'),'null','null')
286;St.MÌsto u JiË.;1421H1;39;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3530433334245,50.4059197224511,'null'),'null','null')
287;Bartouöov zast.;142110;30.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3110663890839,50.3550022220612,'null'),'null','null')
288;Zachraöùany;140102;30;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4898399999407,50.2143422222137,'null'),'null','null')
289;LovËice o.;141102;6.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.3819927777184,50.1705041665501,'null'),'null','null')
290;N.Bydûov;1401B1;33.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4856672223409,50.2445980559455,'null'),'null','null')
291;Lukov·;140102;27.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4868877776464,50.190165277587,'null'),'null','null')
292;Sk¯ivany;1401C1;36.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4992152775658,50.2723763889737,'null'),'null','null')
293;Smidary;1401D1;39.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4959138891432,50.2946844440036,'null'),'null','null')
294;Ohniöùany;140108;44.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5069524998135,50.3336258333259,'null'),'null','null')
295;L·znÏ BÏlohrad;1401G1;58.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5772530555725,50.4261800003052,'null'),'null','null')
296;ä·rovcova Lhota;140112;55.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5616775004069,50.4079119443893,'null'),'null','null')
297;H.Nov· Ves;140114;61.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5721180555556,50.4505763889021,'null'),'null','null')
298;Semonice;160120;37.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8774194441901,50.3316297223833,'null'),'null','null')
299;St.Paka;1401I1;74;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.4843161111408,50.5166961111108,'null'),'null','null')
300;N.Paka;1401H1;69.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5236719444063,50.4860283332401,'null'),'null','null')
301;N.Paka m.;140116;70.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5126333332062,50.4946149995592,'null'),'null','null')
302;Borovnice;160116;73.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6041425000297,50.5093083328671,'null'),'null','null')
303;Mostek;1601H1;67.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6916938887702,50.4920569446352,'null'),'null','null')
304;BorovniËka;160116;69.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6588627778159,50.5000580555573,'null'),'null','null')
305;BÌl· T¯emeön·;1601G1;60.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7336233333415,50.4515275000201,'null'),'null','null')
306;Dv˘r Kr·lovÈ n.L.;1601F1;54.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7989755556318,50.4135863886939,'null'),'null','null')
309;JaromÏ¯;1601D1;39.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9110519440969,50.3418666664759,'null'),'null','null')
310;JaromÏ¯ zast.;160108;41.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9113033337063,50.357153055403,'null'),'null','null')
311;Rychnovek;165104;4.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9696886110306,50.3607219441732,'null'),'null','null')
312;Smi¯ice;1601C1;33.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8578913889991,50.2999819448259,'null'),'null','null')
313;»ernoûice;160120;35.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8695672223303,50.315513888465,'null'),'null','null')
314;Smi¯ice zast.;1641D1;10.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8445647218492,50.2931438891093,'null'),'null','null')
315;Sendraûice;164106;8.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.815431110594,50.296105000178,'null'),'null','null')
316;RaËice n.Trot.;164104;5.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7919197220272,50.3123144446479,'null'),'null','null')
317;Ho¯inÏves;1641B1;2.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7533802776866,50.3127433331807,'null'),'null','null')
318;P¯edmÏ¯ice n.L.;1601B1;26.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.81760083331,50.2535105554263,'null'),'null','null')
319;Lochenice;160104;29.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8245186111662,50.27311472204,'null'),'null','null')
320;Opatovice n.L.;1612C1;16.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7893058331807,50.1660983329349,'null'),'null','null')
321;StÈblov·;1612B1;9.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7576983335283,50.1045438888338,'null'),'null','null')
322;»eperka;161204;12.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7700011110306,50.1314813889398,'null'),'null','null')
323;KunËice n.L.;1401L1;97.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6223752779431,50.5840880555577,'null'),'null','null')
324;H.Brann·;140122;94.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.5870272223155,50.5966972223918,'null'),'null','null')
325;Kl·ötersk· Lhota;140124;101.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6605655553606,50.5587255557378,'null'),'null','null')
326;HostinnÈ;1401M1;107.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7393277777566,50.5358572223451,'null'),'null','null')
327;HostinnÈ m.;140124;106;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7195002778371,50.5393258333206,'null'),'null','null')
328;ProseËnÈ;140124;104;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6960819445716,50.5475269444784,'null'),'null','null')
329;ChotÏvice;140126;111.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.7598230552673,50.5190069444974,'null'),'null','null')
330;PilnÌkov;1401N1;115.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8126358328925,50.5340680555503,'null'),'null','null')
331;VlËice;140128;118;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8348491666052,50.5467597219679,'null'),'null','null')
332;Trutnov hl.n.;1401O1;124.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9096816666921,50.5659258333842,'null'),'null','null')
333;Trutnov-Po¯ÌËÌ;1651G1;47;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.955086666743,50.5799244446225,'null'),'null','null')
334;Trutnov st¯.;1401P1;127.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9429599995083,50.5770691670312,'null'),'null','null')
335;Trutnov zast.;147102;1.1;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9599597220951,50.578068611357,'null'),'null','null')
336;Lhota u Trut.;147102;3.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9863580555386,50.5865594445335,'null'),'null','null')
337;Pet¯Ìkovice;147102;5.8;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.0030833334393,50.6017397222254,'null'),'null','null')
338;Bohuslavice n.⁄pou;165112;43.2;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9788105551402,50.551051944428,'null'),'null','null')
339;LibeË;165114;49.4;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9462602774302,50.5963752778371,'null'),'null','null')
340;VrchlabÌ;1451B1;4.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6262727779812,50.6165183332231,'null'),'null','null')
341;Podh˘¯Ì;145102;2.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.6245572222604,50.6005097222328,'null'),'null','null')
342;Svoboda n.⁄pou;1461C1;10;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8206777776612,50.6215869442622,'null'),'null','null')
343;MladÈ Buky;146104;7.6;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8412902779049,50.6070508331723,'null'),'null','null')
344;Kaln· Voda;1461B1;5.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8708188888762,50.600831666655,'null'),'null','null')
345;Trutnov-StarÈ m.;146102;3.9;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8816924995846,50.5910494444105,'null'),'null','null')
346;éaclÈ¯;148104;5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9112311108907,50.6647208330366,'null'),'null','null')
347;Lampertice;148104;3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9299661106533,50.6735822221968,'null'),'null','null')
348;Kr·lovec;1651H1;60.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9681080555916,50.6710369443893,'null'),'null','null')
349;Trutnov-Zel.Louka;146102;2.7;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.8881750000848,50.5809380552504,'null'),'null','null')
350;Bernartice u Trut.;165114;57;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9588022221459,50.6471236112383,'null'),'null','null')
351;K¯enov;165114;54.5;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(15.9355472221639,50.6381344445546,'null'),'null','null')
352;Radvanice;1471C1;12.3;MDSYS.SDO_GEOMETRY(2001,8307,MDSYS.SDO_POINT_TYPE(16.05975777732,50.5754244444105,'null'),'null','null')
